pr_id,agent,repo_full_name,total_mutants,killed,survived,timeout_mutants,no_coverage,msi_global,msi_by_operator,status,error_msg,duration_seconds,mutation_tool_used
3244343726,Cursor,getsentry/sentry,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3188765592,Cursor,getsentry/sentry,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3201407554,Cursor,ucbepic/docetl,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3201428116,Cursor,willccbb/verifiers,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3215483455,Cursor,browser-use/browser-use,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3126127102,Cursor,teaxyz/chai,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3207286828,Cursor,AgentOps-AI/agentops,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3201304127,Cursor,ucbepic/docetl,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3208686693,Cursor,browser-use/browser-use,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3138534395,Cursor,getsentry/sentry,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3185509791,Cursor,iterative/datachain,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3166030819,Cursor,WorkflowAI/WorkflowAI,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3267581502,Cursor,willccbb/verifiers,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3075723453,Devin,crewAIInc/crewAI,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3075757415,Devin,crewAIInc/crewAI,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2818857108,Devin,onyx-dot-app/onyx,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2939562448,Devin,airbytehq/PyAirbyte,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2870860967,Devin,marimo-team/marimo,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2889287277,Devin,vlm-run/vlmrun-hub,,,,,,,{},no_module,nenhum módulo Python encontrado,0.0,cosmic-ray
2793512716,Devin,marimo-team/marimo,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2794323375,Devin,AgentOps-AI/agentops,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2795821755,Devin,marimo-team/marimo,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2796002590,Devin,marimo-team/marimo,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2869463251,Devin,crewAIInc/crewAI,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3084795047,Devin,567-labs/instructor,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
2889242157,Devin,vlm-run/vlmrun-hub,,,,,,,{},no_module,nenhum módulo Python encontrado,0.0,cosmic-ray
3029881950,Devin,reflex-dev/reflex-web,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
