term,coef,std_err,z,p_value,odds_ratio,or_ci_low,or_ci_high,p_bonferroni,significant
const,0.4064024409692705,0.13790180570905947,2.947042200641553,0.0032082941598261736,1.5014066584422603,1.1458135420463686,1.9673549589829604,0.05454100071704495,False
cat_superficial,0.08072063930242632,0.033809785405866585,2.3874933938036733,0.016963707632082794,1.0840680082661802,1.0145584162095074,1.158339852856262,0.28838302974540747,False
cat_functional,-0.05036690237749091,0.02744338532617571,-1.8353020875107044,0.06646094195021147,0.9508804801814901,0.9010847734529004,1.003427995043623,1.0,False
cat_coverage,0.08932549781814038,0.06995620141864183,1.276877474858677,0.20164550770267953,1.0934365096066072,0.9533352465550863,1.2541269242494064,1.0,False
cat_maintainability,0.03206081534673905,0.035822489496025886,0.8949912693894667,0.37079175506494866,1.0325803001246427,0.9625673280311524,1.1076857121115482,1.0,False
cat_confidence,-0.09108308139501547,0.12287476603817285,-0.7412675875754602,0.45853121018409737,0.9129418592651439,0.7175464298642305,1.161545516373345,1.0,False
cat_process,0.12947093498320356,0.06144597072478378,2.107069567882706,0.035111549771739484,1.1382260284233734,1.009077787808407,1.2839034883467604,0.5968963461195712,False
cat_directive,0.04298140916438785,0.03936491532088302,1.0918709925837509,0.27488980927501927,1.0439184873532215,0.9664035050783154,1.1276509268760626,1.0,False
n_test_comments,-0.05349565881056054,0.02282479511513154,-2.343751982908094,0.01909086158441628,0.947910056051996,0.9064383524372945,0.991279188428489,0.3245446469350768,False
mean_intensity,-0.1575620352350552,0.054899850132313424,-2.869990261454575,0.00410484441113996,0.8542238199892979,0.767078802652287,0.9512690640310616,0.06978235498937932,False
resolution_rate,1.1349955106128178,0.23192548315387512,4.893793882321179,9.89104310686296e-07,3.111159575673854,1.9747100227142094,4.901638110897439,1.681477328166703e-05,True
log_pr_churn,-0.06335560501864541,0.015815854680830143,-4.005828726754589,6.180041921133619e-05,0.9386096400376439,0.9099599602240296,0.9681613421261949,0.001050607126592715,True
tdt_last_filled,0.02488098261246186,0.02355463254804673,1.0563095205034356,0.2908268277587349,1.025193097458958,0.9789388528549162,1.0736328260057926,1.0,False
agent_Claude Code,0.7305032441085265,0.2171820660468367,3.3635523291825984,0.0007694624711909087,2.0761251425706244,1.356389506099236,3.177771273098117,0.013080862010245449,True
agent_Cursor,0.6583377768294305,0.1455336955861909,4.523610660594656,6.079351083068035e-06,1.9315789491751165,1.4522175506930968,2.5691723909518664,0.00010334896841215659,True
agent_Devin,0.6486125046453647,0.11055531324855605,5.866859634209721,4.441263446959594e-09,1.9128848680048982,1.540218193804949,2.375720877054841,7.55014785983131e-08,True
agent_OpenAI Codex,0.876390604417108,0.11323826373780099,7.7393504235137165,9.992601908216646e-15,2.4022135010718055,1.9240716804314242,2.9991760511945924,1.6987423243968298e-13,True
